preferred_zone,preferred_entry_date,minimum_acceptable_group_size,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size,processing_sequence,state,year,awarded,preferred_option,preferred_entry_date_month,preferred_entry_date_day
Snow Zone,09-06-2020,0.0,Awarded,3,07-05-2020,Snow Zone,8,,,2020,False,1,September,Sunday
Snow Zone,08-13-2020,0.0,Awarded,2,09-02-2020,Snow Zone,8,,,2020,False,1,August,Thursday
Core Enchantment Zone,10-01-2020,0.0,Awarded,2,10-08-2020,Core Enchantment Zone,4,,,2020,False,1,October,Thursday
Core Enchantment Zone,06-26-2020,0.0,Awarded,3,06-26-2020,Colchuck Zone,2,,,2020,False,1,June,Friday
Core Enchantment Zone,05-22-2020,0.0,Awarded,2,05-27-2020,Colchuck Zone,2,,,2020,False,1,May,Friday
Core Enchantment Zone,07-27-2020,0.0,Awarded,3,07-12-2020,Snow Zone,4,,,2020,False,1,July,Monday
Core Enchantment Zone,10-07-2020,0.0,Awarded,2,08-30-2020,Eightmile/Caroline Zone,4,,,2020,False,1,October,Wednesday
Core Enchantment Zone,06-28-2020,0.0,Awarded,3,06-30-2020,Eightmile/Caroline Zone,2,,,2020,False,1,June,Sunday
Core Enchantment Zone,08-30-2020,0.0,Awarded,3,07-26-2020,Eightmile/Caroline Zone (stock),4,,,2020,False,1,August,Sunday
Snow Zone,06-25-2020,0.0,Awarded,3,07-16-2020,Eightmile/Caroline Zone,6,,,2020,False,1,June,Thursday
Core Enchantment Zone,07-25-2020,0.0,Awarded,2,09-05-2020,Core Enchantment Zone,5,,,2020,False,1,July,Saturday
Core Enchantment Zone,05-23-2020,0.0,Awarded,2,05-17-2020,Core Enchantment Zone,4,,,2020,False,1,May,Saturday
Colchuck Zone,06-04-2020,0.0,Awarded,2,06-12-2020,Eightmile/Caroline Zone,8,,,2020,False,1,June,Thursday
Core Enchantment Zone,07-03-2020,0.0,Awarded,2,07-03-2020,Stuart  Zone,8,,,2020,False,1,July,Friday
Colchuck Zone,08-23-2020,0.0,Awarded,3,08-30-2020,Colchuck Zone,8,,,2020,False,1,August,Sunday
Core Enchantment Zone,09-22-2020,0.0,Awarded,3,09-07-2020,Colchuck Zone,6,,,2020,False,1,September,Tuesday
Core Enchantment Zone,07-15-2020,0.0,Awarded,3,07-02-2020,Eightmile/Caroline Zone (stock),4,,,2020,False,1,July,Wednesday
Core Enchantment Zone,10-07-2020,0.0,Awarded,3,10-07-2020,Stuart  Zone,6,,,2020,False,1,October,Wednesday
Stuart  Zone,08-01-2020,0.0,Awarded,3,08-15-2020,Stuart  Zone,8,,,2020,False,1,August,Saturday
Colchuck Zone,09-09-2020,0.0,Awarded,3,09-16-2020,Snow Zone,4,,,2020,False,1,September,Wednesday
Snow Zone,07-28-2020,0.0,Awarded,2,09-29-2020,Snow Zone,4,,,2020,False,1,July,Tuesday
Snow Zone,09-24-2020,0.0,Awarded,3,10-15-2020,Snow Zone,8,,,2020,False,1,September,Thursday
Colchuck Zone,08-24-2020,0.0,Awarded,2,08-24-2020,Core Enchantment Zone,4,,,2020,False,1,August,Monday
Core Enchantment Zone,07-08-2020,0.0,Awarded,3,06-24-2020,Core Enchantment Zone,2,,,2020,False,1,July,Wednesday
Core Enchantment Zone,09-10-2020,0.0,Awarded,2,06-18-2020,Core Enchantment Zone,4,,,2020,False,1,September,Thursday
Core Enchantment Zone,08-20-2020,0.0,Awarded,3,07-23-2020,Eightmile/Caroline Zone (stock),2,,,2020,False,1,August,Thursday
Core Enchantment Zone,09-14-2020,0.0,Awarded,3,09-13-2020,Snow Zone,6,,,2020,False,1,September,Monday
