Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,7/2/2020,Core Enchantment Zone,6/25/2020,Colchuck Zone,7/23/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/11/2020,Snow Zone,8/8/2020,Stuart  Zone,7/4/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/31/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,7/31/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/14/2020,Snow Zone,8/18/2020,Snow Zone,8/20/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/1/2020,Core Enchantment Zone,8/1/2020,Core Enchantment Zone,8/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/12/2020,Stuart  Zone,6/19/2020,Stuart  Zone,7/10/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,7/23/2020,Core Enchantment Zone,7/23/2020,Eightmile/Caroline Zone,7/27/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/31/2020,Core Enchantment Zone,7/31/2020,Snow Zone,7/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/10/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,6/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,7/31/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/1/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,8/2/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/12/2020,Core Enchantment Zone,7/18/2020,Core Enchantment Zone,7/11/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/3/2020,Core Enchantment Zone,8/21/2020,Core Enchantment Zone,8/28/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/25/2020,Core Enchantment Zone,7/30/2020,Core Enchantment Zone,7/11/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/2/2020,Core Enchantment Zone,7/23/2020,Core Enchantment Zone,7/16/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/4/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,8/5/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,6/26/2020,Core Enchantment Zone,7/31/2020,Core Enchantment Zone,7/12/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/27/2020,Core Enchantment Zone,7/11/2020,Core Enchantment Zone,9/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/17/2020,Core Enchantment Zone,9/24/2020,Core Enchantment Zone,10/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/31/2020,Core Enchantment Zone,8/1/2020,Core Enchantment Zone,9/5/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/26/2020,Core Enchantment Zone,6/27/2020,Core Enchantment Zone,7/11/2020,Core Enchantment Zone,Unsuccessful,,,,
